"age","race","gender","empl","inc","pid","pid.follow","ideol","ideol.follow","educ","mor.suffer","mor.care","mor.cruel","mor.comp","mor.anim","mor.kill","si.white","si.care","si.kids","si.kill","si.good","si.help","hc.group","hc.likert","hc.slider","hc.check","ev.group","ev.likert","ev.slider","ev.check","inc.num","dem","male","mor.all","si.all"
61,"Asian","Female","Employed full time","$150 000 or more","Republican","Not very strong","Conservative","Somewhat conservative","Doctorate",5,4,5,6,5,6,2,6,5,2,4,2,"control",4,7.3,3,"si.opp",2,4.3,5,7,0,0,5.16666666666667,3.5
41,"White","Male","Employed full time","$150 000 or more","Republican","Not very strong","Conservative","Somewhat conservative","Master",4,4,5,5,5,5,3,3,1,4,3,2,"m.opp",4,6.1,3,"si.supp",4,6.3,5,7,0,1,4.66666666666667,2.66666666666667
57,"White","Male","Employed full time","$40 000 to $59 999","Independent","Closer to the Republican Party","Conservative","Very conservative","Bachelor",5,5,6,4,5,1,2,5,5,6,4,4,"si.supp",1,9,3,"si.supp",4,8.1,5,3,0,1,4.33333333333333,4.33333333333333
33,"White","Female","Homemaker","Less than $20 000","Republican","Not very strong","Neither","Neither","High school graduate",1,1,1,2,2,2,1,6,3,1,1,6,"control",3,5.2,4,"control",3,5,3,1,0,0,1.5,3
64,"White","Female","Retired","$60 000 to $79 999","Independent","Closer to the Democratic Party","Liberal","Somewhat liberal","Bachelor",4,4,4,5,5,5,3,5,4,4,2,2,"control",5,9.5,3,"si.supp",4,8,5,4,0,0,4.5,3.33333333333333
25,"American Indian or Alaska Native","Male","Employed part time","Less than $20 000","Democrat","Strong","Liberal","Very liberal","Bachelor",5,5,6,6,6,6,5,6,5,5,5,6,"m.supp",5,9.2,3,"si.opp",5,8.8,2,1,1,1,5.66666666666667,5.33333333333333
54,"White","Female","Employed part time","$20 000 to $39 999","Democrat","Strong","Liberal","Somewhat liberal","Some college",4,4,5,5,6,5,3,4,1,2,4,2,"control",5,8.3,3,"control",5,9.1,5,2,1,0,4.83333333333333,2.66666666666667
56,"White","Male","Employed part time","$40 000 to $59 999","Republican","Not very strong","Conservative","Somewhat conservative","Some college",6,6,5,6,5,6,1,1,1,5,1,3,"si.opp",4,8.2,3,"si.opp",5,9.4,5,3,0,1,5.66666666666667,2
23,"American Indian or Alaska Native","Female","Unemployed","Less than $20 000","Independent","Closer to the Republican Party","Conservative","Somewhat conservative","High school graduate",4,4,4,4,6,6,1,1,1,2,1,1,"si.supp",3,5.2,1,"m.supp",3,6.7,5,1,0,0,4.66666666666667,1.16666666666667
27,"Other","Male","Student","$40 000 to $59 999","Independent","Neither","Neither","Neither","Master",4,4,4,4,4,3,4,4,4,4,4,4,"si.opp",4,4.6,4,"m.supp",4,5.2,4,3,0,1,3.83333333333333,4
52,"White","Female","Employed full time","Less than $20 000","Independent","Closer to the Democratic Party","Liberal","Somewhat liberal","High school graduate",5,3,5,4,6,5,1,4,3,4,1,4,"m.opp",4,8,3,"m.supp",4,7.2,5,1,0,0,4.66666666666667,2.83333333333333
29,"White","Female","Unemployed","$40 000 to $59 999","Something else","Closer to the Republican Party","Neither","Neither","9th grade",5,6,6,6,6,3,3,2,3,5,4,3,"si.opp",4,5.3,3,"si.supp",5,7.5,5,3,0,0,5.33333333333333,3.33333333333333
39,"Black or African-American","Female","Student","Less than $20 000","Democrat","Not very strong","Neither","Closer to conservatives","Some college",4,3,3,6,6,6,3,4,4,3,4,4,"si.opp",3,5.5,3,"m.opp",3,5.6,7,1,1,0,4.66666666666667,3.66666666666667
54,"Black or African-American","Female","Employed full time","$40 000 to $59 999","Republican","Strong","Conservative","Somewhat conservative","Some college",6,6,6,6,6,3,1,1,1,4,1,2,"m.opp",3,8.2,3,"si.opp",4,5.5,5,3,0,0,5.5,1.66666666666667
37,"Black or African-American","Female","Employed part time","$20 000 to $39 999","Democrat","Strong","Neither","Closer to liberals","Some college",3,4,4,5,4,2,4,5,3,4,4,4,"m.opp",3,6.9,3,"si.opp",3,5.5,5,2,1,0,3.66666666666667,4
46,"White","Female","Employed full time","$150 000 or more","Independent","Neither","Liberal","Somewhat liberal","Master",4,4,5,5,5,4,5,4,3,4,4,3,"si.supp",2,1.9,3,"control",4,6.1,5,7,0,0,4.5,3.83333333333333
47,"White","Male","Employed part time","$100 000 to $149 999","Republican","Strong","Conservative","Very conservative","Bachelor",3,3,3,3,6,1,5,6,2,6,2,2,"m.supp",4,8.4,3,"si.opp",2,1.5,5,6,0,1,3.16666666666667,3.83333333333333
42,"Asian","Male","Employed part time","$20 000 to $39 999","Democrat","Not very strong","Neither","Neither","Associate degree",2,2,3,4,6,6,3,4,3,3,2,4,"m.supp",4,7.8,3,"si.opp",5,10,5,2,1,1,3.83333333333333,3.16666666666667
55,"Black or African-American","Male","Employed part time","$20 000 to $39 999","Democrat","Strong","Liberal","Very liberal","High school graduate",1,1,3,6,6,3,3,3,6,6,3,4,"control",5,9.1,3,"si.opp",1,2.7,5,2,1,1,3.33333333333333,4.16666666666667
56,"White","Female","Employed part time","$20 000 to $39 999","Republican","Not very strong","Conservative","Somewhat conservative","Bachelor",6,6,6,6,6,6,2,2,2,6,5,1,"control",3,5,3,"control",4,8,5,2,0,0,6,3
40,"Asian","Male","Employed full time","$60 000 to $79 999","Something else","Neither","Neither","Neither","Doctorate",3,4,3,4,6,3,4,6,3,3,4,4,"si.opp",3,5.9,3,"m.opp",3,4.5,3,4,0,1,3.83333333333333,4
63,"White","Male","Employed part time","$80 000 to $99 999","Democrat","Strong","Liberal","Somewhat liberal","Bachelor",6,6,6,6,6,1,1,1,1,6,1,1,"si.opp",1,1.1,3,"si.opp",3,2.1,5,5,1,1,5.16666666666667,1.83333333333333
27,"White","Female","Employed full time","$20 000 to $39 999","Independent","Closer to the Democratic Party","Liberal","Somewhat liberal","Some college",5,3,5,5,6,5,3,2,4,4,4,2,"m.opp",2,4.3,3,"si.opp",4,6.3,5,2,0,0,4.83333333333333,3.16666666666667
60,"White","Female","Retired","$100 000 to $149 999","Democrat","Strong","Liberal","Somewhat liberal","Master",4,4,5,5,2,5,2,1,1,2,2,2,"control",4,8.2,3,"si.supp",4,6,5,6,1,0,4.16666666666667,1.66666666666667
43,"White","Female","Employed full time","$150 000 or more","Democrat","Strong","Liberal","Somewhat liberal","Master",5,2,3,5,6,5,2,1,2,4,3,1,"si.opp",4,6.6,3,"si.supp",4,6.9,5,7,1,0,4.33333333333333,2.16666666666667
38,"White","Male","Unemployed","Less than $20 000","Democrat","Strong","Conservative","Somewhat conservative","High school graduate",1,1,1,2,2,2,3,6,3,1,1,1,"m.supp",3,4.1,3,"si.supp",3,4.6,3,1,1,1,1.5,2.5
23,"Hispanic or Latino","Female","Unemployed","$60 000 to $79 999","Democrat","Strong","Liberal","Very liberal","High school graduate",4,3,4,4,4,4,4,4,4,4,5,4,"si.opp",3,5.7,4,"si.supp",3,6.3,4,4,1,0,3.83333333333333,4.16666666666667
34,"Hispanic or Latino","Female","Employed full time","$20 000 to $39 999","Democrat","Not very strong","Neither","Neither","Associate degree",4,4,4,5,5,5,5,5,5,5,5,5,"si.supp",3,5.1,3,"si.opp",3,5.4,6,2,1,0,4.5,5
39,"White","Male","Employed full time","$100 000 to $149 999","Republican","Strong","Conservative","Very conservative","Bachelor",5,5,6,6,5,5,6,6,6,6,6,6,"control",1,1,4,"control",4,8,4,6,0,1,5.33333333333333,6
52,"White","Male","Employed full time","$40 000 to $59 999","Independent","Closer to the Republican Party","Conservative","Very conservative","Some college",1,2,5,5,4,1,2,5,1,6,4,3,"control",1,1,3,"si.supp",3,5,5,3,0,1,3,3.5
45,"White","Male","Employed full time","$150 000 or more","Independent","Closer to the Republican Party","Conservative","Somewhat conservative","High school graduate",3,3,3,4,4,3,4,3,3,5,3,4,"m.supp",3,6.7,3,"si.opp",4,6,3,7,0,1,3.33333333333333,3.66666666666667
39,"Black or African-American","Female","Employed full time","$150 000 or more","Democrat","Strong","Neither","Closer to conservatives","Doctorate",6,6,6,6,4,5,4,5,2,4,1,2,"si.opp",5,9,3,"si.supp",3,5.5,5,7,1,0,5.5,3
36,"Black or African-American","Female","Employed part time","$40 000 to $59 999","Independent","Neither","Neither","Neither","Master",3,2,5,3,4,3,3,1,1,5,2,1,"control",4,6,3,"si.opp",2,3.6,5,3,0,0,3.33333333333333,2.16666666666667
23,"Black or African-American","Female","Unemployed","Less than $20 000","Democrat","Strong","Liberal","Somewhat liberal","Associate degree",5,4,5,5,5,3,5,4,4,5,5,5,"si.opp",2,6.9,3,"si.opp",1,2.5,5,1,1,0,4.5,4.66666666666667
34,"White","Male","Employed full time","$40 000 to $59 999","Independent","Neither","Neither","Neither","Associate degree",1,1,6,5,6,1,3,5,5,6,2,3,"si.opp",4,5.9,3,"si.supp",5,10,5,3,0,1,3.33333333333333,4
53,"Other","Female","Employed part time","Less than $20 000","Democrat","Strong","Liberal","Very liberal","Master",3,2,3,6,6,1,1,6,4,6,4,3,"si.supp",1,1.2,3,"si.supp",1,1.2,5,1,1,0,3.5,4
43,"Hispanic or Latino","Female","Employed part time","$20 000 to $39 999","Democrat","Not very strong","Conservative","Somewhat conservative","Bachelor",3,2,6,6,5,6,3,4,2,3,2,3,"si.opp",4,7.9,3,"m.supp",4,6.7,5,2,1,0,4.66666666666667,2.83333333333333
30,"White","Male","Employed part time","$100 000 to $149 999","Republican","Strong","Liberal","Very liberal","Professional degree",5,5,6,4,6,5,5,6,6,6,6,4,"m.opp",1,9.2,6,"m.opp",1,8.1,2,6,0,1,5.16666666666667,5.5
39,"Black or African-American","Female","Employed full time","$40 000 to $59 999","Democrat","Strong","Liberal","Somewhat liberal","Associate degree",4,3,3,4,4,5,4,4,4,3,5,4,"control",4,7.3,3,"si.supp",3,5.4,6,3,1,0,3.83333333333333,4
39,"Black or African-American","Female","Employed full time","$20 000 to $39 999","Something else","Closer to the Democratic Party","Liberal","Somewhat liberal","Associate degree",5,6,5,6,6,3,1,2,3,4,1,1,"si.opp",4,7.7,3,"si.supp",5,9.3,5,2,0,0,5.16666666666667,2
39,"Black or African-American","Female","Student","Less than $20 000","Independent","Closer to the Democratic Party","Neither","Neither","Some college",6,6,6,5,6,6,3,6,2,6,3,4,"m.opp",5,8.5,3,"si.opp",4,6.9,5,1,0,0,5.83333333333333,4
30,"White","Female","Employed full time","$60 000 to $79 999","Democrat","Strong","Liberal","Very liberal","Bachelor",5,5,5,6,6,6,3,5,2,5,5,5,"control",5,10,3,"si.supp",5,8.1,4,4,1,0,5.5,4.16666666666667
40,"White","Male","Employed full time","$150 000 or more","Republican","Strong","Conservative","Very conservative","High school graduate",4,6,6,5,6,1,2,6,4,6,3,4,"si.opp",1,1.5,3,"si.supp",4,6.8,5,7,0,1,4.66666666666667,4.16666666666667
32,"White","Male","Employed full time","$60 000 to $79 999","Independent","Closer to the Democratic Party","Conservative","Somewhat conservative","High school graduate",3,4,1,5,2,4,5,2,1,4,2,1,"si.supp",3,5.6,4,"m.supp",4,1,6,4,0,1,3.16666666666667,2.5
53,"White","Male","Unemployed","$20 000 to $39 999","Democrat","Not very strong","Conservative","Somewhat conservative","Professional degree",5,4,3,2,2,3,3,3,4,3,3,3,"si.opp",3,6.1,4,"si.opp",3,5.4,3,2,1,1,3.16666666666667,3.16666666666667
30,"White","Male","Employed full time","$60 000 to $79 999","Republican","Not very strong","Neither","Neither","Master",4,4,6,4,3,5,5,3,5,5,2,4,"m.opp",4,7.2,3,"si.opp",3,4.3,5,4,0,1,4.33333333333333,4
34,"Black or African-American","Male","Employed part time","$40 000 to $59 999","Democrat","Strong","Liberal","Very liberal","9th grade",3,2,1,3,3,3,4,3,2,2,2,2,"control",3,6.1,4,"si.opp",1,4.4,3,3,1,1,2.5,2.5
40,"White","Male","Employed part time","$60 000 to $79 999","Republican","Not very strong","Conservative","Somewhat conservative","Some college",3,3,3,3,2,4,2,5,5,4,4,4,"si.supp",2,3.8,7,"control",3,5.4,4,4,0,1,3,4
45,"White","Male","Employed full time","$60 000 to $79 999","Independent","Neither","Neither","Neither","Master",6,5,5,6,5,5,1,6,3,6,1,5,"si.opp",3,5.5,4,"m.supp",3,6.6,5,4,0,1,5.33333333333333,3.66666666666667
34,"White","Male","Employed full time","$100 000 to $149 999","Republican","Not very strong","Neither","Neither","Master",1,2,3,4,5,3,4,5,3,3,3,5,"si.supp",2,3.7,4,"m.supp",4,5.4,5,6,0,1,3,3.83333333333333
33,"White","Male","Employed full time","$40 000 to $59 999","Independent","Closer to the Democratic Party","Neither","Closer to liberals","Bachelor",3,3,4,5,5,3,2,5,4,3,2,4,"si.opp",3,6.3,3,"si.opp",3,5.1,5,3,0,1,3.83333333333333,3.33333333333333
27,"Black or African-American","Female","Employed full time","$20 000 to $39 999","Republican","Not very strong","Conservative","Somewhat conservative","Associate degree",5,2,5,4,1,3,2,3,6,1,3,4,"m.opp",2,4.3,3,"m.opp",3,4,5,2,0,0,3.33333333333333,3.16666666666667
29,"White","Male","Employed full time","$100 000 to $149 999","Independent","Closer to the Democratic Party","Neither","Closer to liberals","Bachelor",4,4,5,5,6,5,3,6,5,5,5,4,"si.opp",4,6.5,3,"control",5,9.6,5,6,0,1,4.83333333333333,4.66666666666667
35,"Other","Male","Unemployed","Less than $20 000","Something else","Neither","Neither","Neither","12th grade",6,6,6,6,6,6,1,2,1,1,1,1,"si.opp",1,1,3,"si.opp",5,9.3,5,1,0,1,6,1.16666666666667
48,"White","Male","Employed part time","$60 000 to $79 999","Democrat","Strong","Conservative","Very conservative","Associate degree",4,4,4,4,4,4,4,4,4,4,4,4,"si.supp",4,8.4,4,"si.supp",4,8.3,2,4,1,1,4,4
51,"White","Male","Employed full time","$150 000 or more","Republican","Strong","Conservative","Very conservative","Master",2,3,5,4,6,3,2,5,6,5,3,5,"si.opp",1,1.4,3,"si.opp",3,5.6,5,7,0,1,3.83333333333333,4.33333333333333
25,"White","Male","Employed full time","$80 000 to $99 999","Democrat","Not very strong","Conservative","Somewhat conservative","Bachelor",6,5,6,6,6,6,2,2,1,2,2,2,"m.opp",4,7.2,3,"si.supp",4,9.4,5,5,1,1,5.83333333333333,1.83333333333333
33,"White","Male","Employed full time","$40 000 to $59 999","Republican","Not very strong","Conservative","Somewhat conservative","High school graduate",6,6,6,6,6,6,1,6,1,4,1,6,"m.opp",3,5.3,3,"control",3,5.6,5,3,0,1,6,3.16666666666667
39,"Hispanic or Latino","Male","Employed full time","$60 000 to $79 999","Independent","Closer to the Republican Party","Conservative","Somewhat conservative","Bachelor",5,6,5,6,6,6,2,4,3,6,3,4,"m.opp",4,6.6,3,"si.supp",4,7.3,5,4,0,1,5.66666666666667,3.66666666666667
42,"Hispanic or Latino","Male","Employed part time","$20 000 to $39 999","Independent","Closer to the Republican Party","Conservative","Somewhat conservative","High school graduate",5,4,5,6,6,1,1,4,3,6,3,4,"control",1,1,3,"si.supp",3,4.4,5,2,0,1,4.5,3.5
33,"White","Male","Employed part time","$20 000 to $39 999","Republican","Strong","Conservative","Very conservative","High school graduate",4,4,2,5,6,5,1,5,1,6,3,3,"si.opp",2,4.8,3,"si.supp",4,5,5,2,0,1,4.33333333333333,3.16666666666667
29,"White","Male","Employed full time","$40 000 to $59 999","Independent","Closer to the Republican Party","Conservative","Somewhat conservative","Master",1,2,3,3,6,4,4,6,6,6,6,6,"m.supp",2,6.4,3,"control",4,7.2,5,3,0,1,3.16666666666667,5.66666666666667
49,"White","Male","Employed full time","$60 000 to $79 999","Democrat","Not very strong","Neither","Closer to conservatives","Some college",5,5,6,6,6,6,1,2,3,6,1,1,"si.opp",3,7.2,3,"si.supp",4,8.2,5,4,1,1,5.66666666666667,2.33333333333333
37,"White","Male","Unemployed","Less than $20 000","Something else","Neither","Neither","Neither","Some college",6,6,6,6,6,6,6,6,6,6,6,6,"m.opp",5,1,7,"si.supp",5,1,7,1,0,1,6,6
39,"White","Male","Unemployed","$40 000 to $59 999","Independent","Closer to the Republican Party","Neither","Neither","Some college",1,1,1,4,6,4,2,5,5,6,1,6,"si.opp",4,4.7,3,"control",3,5,3,3,0,1,2.83333333333333,4.16666666666667
38,"Black or African-American","Male","Employed part time","$20 000 to $39 999","Independent","Neither","Neither","Neither","Bachelor",6,6,6,6,6,6,1,6,1,5,1,6,"si.supp",5,10,3,"si.opp",5,10,5,2,0,1,6,3.33333333333333
50,"White","Male","Employed full time","$40 000 to $59 999","Democrat","Strong","Liberal","Very liberal","Bachelor",2,3,2,5,5,6,4,4,4,2,2,2,"si.opp",3,5.4,4,"si.opp",2,5.2,3,3,1,1,3.83333333333333,3
54,"White","Male","Retired","$20 000 to $39 999","Independent","Neither","Neither","Neither","Some college",5,3,3,5,5,6,1,6,2,6,1,4,"si.opp",4,7.3,3,"m.supp",5,8.2,5,2,0,1,4.5,3.33333333333333
33,"White","Male","Unemployed","Less than $20 000","Independent","Neither","Conservative","Somewhat conservative","High school graduate",6,4,6,3,4,2,3,4,5,4,5,3,"m.supp",3,1,7,"control",3,1,6,1,0,1,4.16666666666667,4
42,"White","Male","Employed full time","$40 000 to $59 999","Republican","Strong","Conservative","Somewhat conservative","5th-6th grade",6,3,3,6,1,2,5,3,1,6,3,3,"control",1,5,3,"m.opp",2,4.8,4,3,0,1,3.5,3.5
44,"White","Male","Employed part time","$80 000 to $99 999","Independent","Neither","Neither","Neither","Some college",5,5,5,5,5,5,5,5,5,5,5,3,"m.supp",4,7,3,"si.opp",4,7,5,5,0,1,5,4.66666666666667
28,"Black or African-American","Male","Unemployed","Less than $20 000","Something else","Neither","Neither","Neither","Associate degree",4,5,3,3,6,6,1,6,6,1,1,4,"si.opp",4,5.8,3,"control",5,5.3,5,1,0,1,4.5,3.16666666666667
55,"Black or African-American","Male","Employed full time","$20 000 to $39 999","Republican","Strong","Conservative","Somewhat conservative","High school graduate",6,3,2,3,6,6,1,4,1,2,1,2,"si.supp",3,4.6,1,"si.opp",3,5.6,4,2,0,1,4.33333333333333,1.83333333333333
32,"White","Male","Employed full time","$60 000 to $79 999","Republican","Strong","Neither","Neither","Associate degree",1,1,1,2,2,1,2,2,3,1,1,3,"si.opp",1,10,1,"m.supp",1,7.2,1,4,0,1,1.33333333333333,2
46,"White","Male","Employed part time","$20 000 to $39 999","Republican","Strong","Liberal","Somewhat liberal","Master",4,4,4,2,3,4,5,6,5,4,6,4,"m.supp",3,8.5,1,"m.supp",4,7.3,4,2,0,1,3.5,5
29,"White","Male","Unemployed","Less than $20 000","Independent","Neither","Neither","Neither","High school graduate",6,4,5,6,6,6,4,6,4,6,1,6,"m.supp",5,10,3,"m.opp",1,1,5,1,0,1,5.5,4.5
42,"White","Male","Employed full time","$100 000 to $149 999","Democrat","Not very strong","Conservative","Somewhat conservative","Master",4,4,5,5,6,2,4,6,5,5,4,5,"m.supp",4,5.3,3,"m.supp",4,8.9,5,6,1,1,4.33333333333333,4.83333333333333
34,"Hispanic or Latino","Male","Unemployed","Less than $20 000","Something else","Neither","Neither","Neither","11th grade",3,4,4,5,5,5,3,4,3,6,3,3,"si.opp",3,6,4,"m.supp",3,5.5,4,1,0,1,4.33333333333333,3.66666666666667
33,"White","Male","Employed full time","$60 000 to $79 999","Democrat","Strong","Liberal","Very liberal","High school graduate",6,6,6,6,6,6,1,6,6,1,1,6,"si.opp",5,10,3,"si.opp",3,4.9,5,4,1,1,6,3.5
46,"White","Male","Unemployed","Less than $20 000","Something else","Neither","Neither","Neither","High school graduate",6,4,2,6,6,6,6,6,3,6,6,3,"m.supp",3,5.3,3,"m.supp",5,10,5,1,0,1,5,5
22,"Black or African-American","Female","Retired","$60 000 to $79 999","Republican","Strong","Conservative","Very conservative","Master",4,4,3,4,3,4,3,2,1,2,4,3,"si.opp",3,5.7,6,"si.supp",2,7.6,3,4,0,0,3.66666666666667,2.5
51,"White","Male","Unemployed","$40 000 to $59 999","Democrat","Not very strong","Liberal","Somewhat liberal","Some college",5,5,6,6,5,4,3,5,4,6,4,3,"si.opp",5,9.1,3,"m.opp",4,7.3,4,3,1,1,5.16666666666667,4.16666666666667
48,"White","Male","Unemployed","$40 000 to $59 999","Democrat","Strong","Conservative","Very conservative","Some college",6,6,6,6,6,3,1,6,6,6,3,6,"m.supp",5,10,3,"control",5,5.5,5,3,1,1,5.5,4.66666666666667
47,"American Indian or Alaska Native","Male","Employed full time","$40 000 to $59 999","Independent","Closer to the Democratic Party","Liberal","Somewhat liberal","Associate degree",5,5,6,6,6,5,2,5,1,2,3,3,"m.supp",4,7.3,3,"si.supp",5,8.3,5,3,0,1,5.5,2.66666666666667
54,"White","Male","Employed part time","$60 000 to $79 999","Democrat","Strong","Liberal","Very liberal","Bachelor",1,4,4,3,4,5,2,5,1,5,4,4,"m.supp",3,6.3,4,"si.opp",3,5.9,5,4,1,1,3.5,3.5
45,"White","Male","Employed part time","$150 000 or more","Independent","Closer to the Democratic Party","Neither","Neither","Master",5,4,2,6,6,3,3,5,1,3,4,3,"si.supp",3,5.8,3,"m.opp",3,5.5,1,7,0,1,4.33333333333333,3.16666666666667
39,"Hispanic or Latino","Male","Employed full time","$40 000 to $59 999","Republican","Not very strong","Neither","Neither","Some college",1,1,3,5,5,2,1,1,2,6,1,1,"m.opp",3,5,3,"control",5,7.7,5,3,0,1,2.83333333333333,2
30,"White","Male","Employed part time","$100 000 to $149 999","Republican","Strong","Conservative","Very conservative","Master",4,3,4,4,4,2,1,1,1,4,1,2,"si.opp",1,5.5,4,"si.opp",2,6.4,3,6,0,1,3.5,1.66666666666667
25,"White","Female","Employed full time","$40 000 to $59 999","Democrat","Strong","Liberal","Somewhat liberal","Master",3,3,4,4,4,5,5,5,4,6,5,3,"m.opp",4,8.7,3,"m.supp",1,1.2,5,3,1,0,3.83333333333333,4.66666666666667
50,"Asian","Female","Employed full time","$80 000 to $99 999","Democrat","Not very strong","Liberal","Somewhat liberal","Bachelor",4,4,4,6,6,4,4,5,3,4,3,3,"m.supp",3,5.6,3,"m.opp",3,5.5,5,5,1,0,4.66666666666667,3.66666666666667
45,"Black or African-American","Male","Unemployed","Less than $20 000","Democrat","Strong","Liberal","Very liberal","Bachelor",6,3,6,6,4,3,6,6,6,6,6,6,"si.supp",4,6.8,3,"m.opp",3,6.7,5,1,1,1,4.66666666666667,6
24,"Hispanic or Latino","Male","Homemaker","$60 000 to $79 999","Republican","Strong","Conservative","Very conservative","High school graduate",6,6,6,1,6,6,6,6,1,1,6,4,"si.supp",3,5,3,"si.supp",5,10,5,4,0,1,5.16666666666667,4
62,"White","Female","Employed part time","$60 000 to $79 999","Independent","Closer to the Republican Party","Conservative","Somewhat conservative","Some college",6,6,6,6,6,6,1,5,1,6,4,6,"si.opp",4,8.1,3,"m.supp",5,9.8,5,4,0,0,6,3.83333333333333
68,"White","Male","Retired","$150 000 or more","Republican","Strong","Conservative","Somewhat conservative","Master",5,5,5,5,4,6,2,6,1,6,2,2,"si.opp",1,2.1,3,"m.supp",1,2,5,7,0,1,5,3.16666666666667
32,"White","Female","Employed full time","$40 000 to $59 999","Independent","Neither","Conservative","Somewhat conservative","Associate degree",6,6,6,6,6,6,1,6,3,3,1,6,"si.supp",3,5.7,3,"control",1,1,5,3,0,0,6,3.33333333333333
76,"White","Female","Retired","$20 000 to $39 999","Republican","Not very strong","Conservative","Somewhat conservative","Associate degree",4,5,5,6,5,5,1,2,1,6,2,1,"si.opp",2,4,3,"si.opp",4,7,5,2,0,0,5,2.16666666666667
28,"White","Female","Employed full time","$40 000 to $59 999","Republican","Strong","Conservative","Somewhat conservative","High school graduate",1,6,5,2,6,6,1,1,5,5,2,1,"si.opp",4,8.6,3,"m.supp",4,7.9,5,3,0,0,4.33333333333333,2.5
38,"White","Male","Employed full time","$80 000 to $99 999","Republican","Not very strong","Liberal","Somewhat liberal","Bachelor",3,3,2,5,4,5,4,4,3,3,3,3,"si.supp",3,6.5,1,"m.supp",2,6.3,3,5,0,1,3.66666666666667,3.33333333333333
72,"White","Female","Retired","$100 000 to $149 999","Independent","Closer to the Republican Party","Conservative","Very conservative","Master",3,4,3,5,5,5,2,1,1,4,2,1,"si.supp",1,1,3,"si.opp",2,4.6,5,6,0,0,4.16666666666667,1.83333333333333
69,"White","Female","Retired","$80 000 to $99 999","Republican","Not very strong","Conservative","Somewhat conservative","Some college",5,6,6,6,6,5,1,4,1,2,1,1,"si.opp",1,1.2,3,"m.supp",3,5.8,5,5,0,0,5.66666666666667,1.66666666666667
69,"White","Male","Retired","$80 000 to $99 999","Republican","Strong","Conservative","Somewhat conservative","Master",5,5,5,5,6,4,4,5,3,6,5,4,"m.supp",1,1.9,3,"m.opp",4,6.5,5,5,0,1,5,4.5
72,"White","Female","Retired","$80 000 to $99 999","Republican","Not very strong","Conservative","Somewhat conservative","Some college",1,4,5,6,6,5,3,5,4,5,4,4,"m.supp",4,7.3,3,"m.opp",2,4.6,5,5,0,0,4.5,4.16666666666667
28,"White","Female","Homemaker","Less than $20 000","Independent","Closer to the Republican Party","Neither","Neither","Some college",6,6,6,6,6,6,1,1,1,4,3,2,"m.supp",4,5.2,3,"control",3,5.2,5,1,0,0,6,2
48,"White","Female","Employed full time","Less than $20 000","Independent","Closer to the Democratic Party","Neither","Closer to liberals","Master",2,6,6,5,5,3,3,2,1,6,2,2,"si.supp",4,9.2,3,"m.supp",4,8.5,5,1,0,0,4.5,2.66666666666667
73,"Asian","Male","Retired","$20 000 to $39 999","Democrat","Strong","Conservative","Very conservative","Bachelor",6,6,6,6,6,6,1,6,5,6,1,1,"m.opp",5,10,3,"si.supp",5,10,5,2,1,1,6,3.33333333333333
70,"White","Female","Retired","$20 000 to $39 999","Democrat","Strong","Liberal","Somewhat liberal","Bachelor",4,4,5,5,6,5,2,3,3,3,1,2,"m.supp",5,9.7,3,"si.opp",4,8.2,5,2,1,0,4.83333333333333,2.33333333333333
66,"White","Female","Retired","$40 000 to $59 999","Republican","Not very strong","Conservative","Very conservative","Bachelor",1,4,5,3,3,3,1,3,1,5,1,2,"si.opp",1,3.4,3,"m.supp",4,8.3,5,3,0,0,3.16666666666667,2.16666666666667
71,"White","Female","Retired","Less than $20 000","Republican","Strong","Conservative","Very conservative","High school graduate",5,4,6,6,6,3,1,1,1,4,1,1,"si.supp",1,1,3,"m.opp",4,6.8,5,1,0,0,5,1.5
25,"Hispanic or Latino","Female","Employed part time","Less than $20 000","Democrat","Strong","Neither","Neither","Some college",4,3,3,3,4,3,3,3,3,3,3,3,"si.opp",3,5.7,4,"si.supp",3,6.4,3,1,1,0,3.33333333333333,3
71,"White","Male","Retired","$60 000 to $79 999","Republican","Strong","Conservative","Somewhat conservative","Master",5,5,5,5,5,6,5,6,6,1,5,5,"si.opp",1,1,3,"si.supp",4,7.3,5,4,0,1,5.16666666666667,4.66666666666667
69,"White","Male","Retired","$20 000 to $39 999","Republican","Strong","Conservative","Very conservative","Associate degree",1,1,1,5,1,3,1,1,1,1,1,1,"m.opp",1,2.9,3,"si.opp",1,2.8,5,2,0,1,2,1
40,"White","Female","Employed part time","$80 000 to $99 999","Republican","Strong","Conservative","Very conservative","Bachelor",1,1,1,4,4,2,1,1,1,5,4,1,"si.opp",1,1,3,"m.opp",3,5.6,5,5,0,0,2.16666666666667,2.16666666666667
18,"Black or African-American","Female","Employed full time","$100 000 to $149 999","Democrat","Strong","Liberal","Very liberal","Professional degree",6,6,6,6,6,6,6,6,6,6,6,6,"control",5,7.9,3,"si.opp",4,8,6,6,1,0,6,6
40,"White","Male","Employed part time","$100 000 to $149 999","Democrat","Strong","Neither","Closer to liberals","Master",4,5,5,5,3,5,5,5,5,5,5,5,"m.opp",5,8.4,3,"si.opp",4,7.3,5,6,1,1,4.5,5
